date,faixa,admissoes,fonte
2012-02-01,41–43h,12264,CAGED Antigo
2012-02-01,44h (jornada máxima),1476758,CAGED Antigo
2012-02-01,Parcial (≤30h),113356,CAGED Antigo
2012-03-01,30–39h,97478,CAGED Antigo
2012-03-01,40h,47515,CAGED Antigo
2012-03-01,41–43h,14044,CAGED Antigo
2012-03-01,44h (jornada máxima),1625176,CAGED Antigo
2012-03-01,Parcial (≤30h),96914,CAGED Antigo
2012-04-01,30–39h,95100,CAGED Antigo
2012-04-01,40h,44421,CAGED Antigo
2012-04-01,41–43h,13334,CAGED Antigo
2012-04-01,44h (jornada máxima),1568331,CAGED Antigo
2012-04-01,Parcial (≤30h),76915,CAGED Antigo
2012-07-01,30–39h,85931,CAGED Antigo
2012-07-01,40h,45177,CAGED Antigo
2012-07-01,41–43h,13130,CAGED Antigo
2012-07-01,44h (jornada máxima),1532156,CAGED Antigo
2012-07-01,Parcial (≤30h),76847,CAGED Antigo
2012-09-01,30–39h,81126,CAGED Antigo
2012-09-01,40h,40591,CAGED Antigo
2012-09-01,41–43h,13129,CAGED Antigo
2012-09-01,44h (jornada máxima),1458304,CAGED Antigo
2012-09-01,Parcial (≤30h),71597,CAGED Antigo
2012-11-01,30–39h,93522,CAGED Antigo
2012-11-01,40h,32964,CAGED Antigo
2012-11-01,41–43h,12009,CAGED Antigo
2012-11-01,44h (jornada máxima),1429960,CAGED Antigo
2012-11-01,Parcial (≤30h),55851,CAGED Antigo
2012-12-01,30–39h,80068,CAGED Antigo
2012-12-01,40h,25675,CAGED Antigo
2012-12-01,41–43h,9864,CAGED Antigo
2012-12-01,44h (jornada máxima),1054324,CAGED Antigo
2012-12-01,Parcial (≤30h),41285,CAGED Antigo
2013-02-01,30–39h,95862,CAGED Antigo
2013-02-01,40h,47692,CAGED Antigo
2013-02-01,41–43h,14135,CAGED Antigo
2013-02-01,44h (jornada máxima),1498388,CAGED Antigo
2013-02-01,Parcial (≤30h),118334,CAGED Antigo
2013-03-01,30–39h,93890,CAGED Antigo
2013-03-01,40h,46920,CAGED Antigo
2013-03-01,41–43h,15429,CAGED Antigo
2013-03-01,44h (jornada máxima),1592513,CAGED Antigo
2013-03-01,Parcial (≤30h),100396,CAGED Antigo
2013-04-01,30–39h,99548,CAGED Antigo
2013-04-01,40h,49686,CAGED Antigo
2013-04-01,41–43h,15109,CAGED Antigo
2013-04-01,44h (jornada máxima),1686351,CAGED Antigo
2013-04-01,Parcial (≤30h),87475,CAGED Antigo
2013-05-01,30–39h,94442,CAGED Antigo
2013-05-01,40h,45700,CAGED Antigo
2013-05-01,41–43h,14280,CAGED Antigo
2013-05-01,44h (jornada máxima),1595861,CAGED Antigo
2013-05-01,Parcial (≤30h),76839,CAGED Antigo
2013-06-01,30–39h,90811,CAGED Antigo
2013-06-01,40h,43006,CAGED Antigo
2013-06-01,41–43h,13702,CAGED Antigo
2013-06-01,44h (jornada máxima),1553211,CAGED Antigo
2013-06-01,Parcial (≤30h),71464,CAGED Antigo
2013-07-01,30–39h,91841,CAGED Antigo
2013-07-01,40h,45321,CAGED Antigo
2013-07-01,41–43h,13944,CAGED Antigo
2013-07-01,44h (jornada máxima),1547603,CAGED Antigo
2013-07-01,Parcial (≤30h),82599,CAGED Antigo
2013-08-01,30–39h,93570,CAGED Antigo
2013-08-01,40h,46043,CAGED Antigo
2013-08-01,41–43h,14220,CAGED Antigo
2013-08-01,44h (jornada máxima),1588747,CAGED Antigo
2013-08-01,Parcial (≤30h),103335,CAGED Antigo
2013-09-01,30–39h,93329,CAGED Antigo
2013-09-01,40h,44517,CAGED Antigo
2013-09-01,41–43h,14806,CAGED Antigo
2013-09-01,44h (jornada máxima),1569648,CAGED Antigo
2013-09-01,Parcial (≤30h),83158,CAGED Antigo
2013-11-01,30–39h,93420,CAGED Antigo
2013-11-01,40h,39418,CAGED Antigo
2013-11-01,41–43h,13633,CAGED Antigo
2013-11-01,44h (jornada máxima),1408712,CAGED Antigo
2013-11-01,Parcial (≤30h),63243,CAGED Antigo
2013-12-01,30–39h,72750,CAGED Antigo
2013-12-01,40h,27346,CAGED Antigo
2013-12-01,41–43h,10051,CAGED Antigo
2013-12-01,44h (jornada máxima),948569,CAGED Antigo
2013-12-01,Parcial (≤30h),35806,CAGED Antigo
2014-01-01,30–39h,95785,CAGED Antigo
2014-01-01,40h,47644,CAGED Antigo
2014-01-01,41–43h,13928,CAGED Antigo
2014-01-01,44h (jornada máxima),1539410,CAGED Antigo
2014-01-01,Parcial (≤30h),81310,CAGED Antigo
2014-02-01,30–39h,111324,CAGED Antigo
2014-02-01,40h,55089,CAGED Antigo
2014-02-01,41–43h,15663,CAGED Antigo
2014-02-01,44h (jornada máxima),1665466,CAGED Antigo
2014-02-01,Parcial (≤30h),141639,CAGED Antigo
2014-04-01,30–39h,105311,CAGED Antigo
2014-04-01,40h,48879,CAGED Antigo
2014-04-01,41–43h,14298,CAGED Antigo
2014-04-01,44h (jornada máxima),1601455,CAGED Antigo
2014-04-01,Parcial (≤30h),92572,CAGED Antigo
2014-06-01,30–39h,92963,CAGED Antigo
2014-06-01,40h,43179,CAGED Antigo
2014-06-01,41–43h,13878,CAGED Antigo
2014-06-01,44h (jornada máxima),1420496,CAGED Antigo
2014-06-01,Parcial (≤30h),68891,CAGED Antigo
2014-07-01,30–39h,99156,CAGED Antigo
2014-07-01,40h,46938,CAGED Antigo
2014-07-01,41–43h,14389,CAGED Antigo
2014-07-01,44h (jornada máxima),1491247,CAGED Antigo
2014-07-01,Parcial (≤30h),95067,CAGED Antigo
2014-08-01,30–39h,99627,CAGED Antigo
2014-08-01,40h,46525,CAGED Antigo
2014-08-01,41–43h,14141,CAGED Antigo
2014-08-01,44h (jornada máxima),1479995,CAGED Antigo
2014-08-01,Parcial (≤30h),108530,CAGED Antigo
2014-10-01,30–39h,95312,CAGED Antigo
2014-10-01,40h,41914,CAGED Antigo
2014-10-01,41–43h,14172,CAGED Antigo
2014-10-01,44h (jornada máxima),1487513,CAGED Antigo
2014-10-01,Parcial (≤30h),79462,CAGED Antigo
2014-11-01,30–39h,97192,CAGED Antigo
2014-11-01,40h,40706,CAGED Antigo
2014-11-01,41–43h,12623,CAGED Antigo
2014-11-01,44h (jornada máxima),1392089,CAGED Antigo
2014-11-01,Parcial (≤30h),70396,CAGED Antigo
2015-02-01,30–39h,99993,CAGED Antigo
2015-02-01,40h,45488,CAGED Antigo
2015-02-01,41–43h,13575,CAGED Antigo
2015-02-01,44h (jornada máxima),1348597,CAGED Antigo
2015-02-01,Parcial (≤30h),139050,CAGED Antigo
2015-04-01,30–39h,93959,CAGED Antigo
2015-04-01,40h,42284,CAGED Antigo
2015-04-01,41–43h,12757,CAGED Antigo
2015-04-01,44h (jornada máxima),1289574,CAGED Antigo
2015-04-01,Parcial (≤30h),89107,CAGED Antigo
2015-05-01,30–39h,87070,CAGED Antigo
2015-05-01,40h,38157,CAGED Antigo
2015-05-01,41–43h,12099,CAGED Antigo
2015-05-01,44h (jornada máxima),1250484,CAGED Antigo
2015-05-01,Parcial (≤30h),76835,CAGED Antigo
2015-06-01,30–39h,82858,CAGED Antigo
2015-06-01,40h,37380,CAGED Antigo
2015-06-01,41–43h,11650,CAGED Antigo
2015-06-01,44h (jornada máxima),1248443,CAGED Antigo
2015-06-01,Parcial (≤30h),73004,CAGED Antigo
2015-08-01,30–39h,82278,CAGED Antigo
2015-08-01,40h,40033,CAGED Antigo
2015-08-01,41–43h,11511,CAGED Antigo
2015-08-01,44h (jornada máxima),1160918,CAGED Antigo
2015-08-01,Parcial (≤30h),97603,CAGED Antigo
2015-09-01,30–39h,77287,CAGED Antigo
2015-09-01,40h,37882,CAGED Antigo
2015-09-01,41–43h,11204,CAGED Antigo
2015-09-01,44h (jornada máxima),1131478,CAGED Antigo
2015-09-01,Parcial (≤30h),68884,CAGED Antigo
2015-10-01,30–39h,75789,CAGED Antigo
2015-10-01,40h,33704,CAGED Antigo
2015-10-01,41–43h,10195,CAGED Antigo
2015-10-01,44h (jornada máxima),1049840,CAGED Antigo
2015-10-01,Parcial (≤30h),67926,CAGED Antigo
2015-12-01,30–39h,67628,CAGED Antigo
2015-12-01,40h,24889,CAGED Antigo
2015-12-01,41–43h,7809,CAGED Antigo
2015-12-01,44h (jornada máxima),779208,CAGED Antigo
